x,y,z
0.783754, -0.617277, -1.08927
0.785978, -0.618496, -1.08913
0.788192, -0.619703, -1.08898
0.790397, -0.620898, -1.08881
0.792592, -0.622082, -1.08864
0.794778, -0.623253, -1.08845
0.796954, -0.624413, -1.08826
0.79912, -0.625561, -1.08806
0.801277, -0.626698, -1.08784
0.803425, -0.627823, -1.08761
0.805563, -0.628936, -1.08738
0.807691, -0.630038, -1.08713
0.80981, -0.631128, -1.08688
0.811919, -0.632207, -1.08661
0.814019, -0.633275, -1.08633
0.816108, -0.634331, -1.08605
0.818189, -0.635376, -1.08575
0.820259, -0.636409, -1.08545
0.82232, -0.637431, -1.08513
0.824371, -0.638443, -1.08481
0.826413, -0.639442, -1.08447
0.828445, -0.640431, -1.08413
0.830467, -0.641409, -1.08378
0.83248, -0.642376, -1.08341
0.834482, -0.643331, -1.08304
0.836476, -0.644276, -1.08266
0.838459, -0.645209, -1.08227
0.840433, -0.646132, -1.08187
0.842396, -0.647044, -1.08146
0.844351, -0.647945, -1.08105
0.846295, -0.648835, -1.08062
0.84823, -0.649715, -1.08019
0.850154, -0.650583, -1.07974
0.85207, -0.651441, -1.07929
0.853975, -0.652288, -1.07883
0.85587, -0.653125, -1.07836
0.857756, -0.653951, -1.07788
0.859632, -0.654766, -1.07739
0.861498, -0.655571, -1.0769
0.863354, -0.656365, -1.07639
0.865201, -0.657149, -1.07588
0.867037, -0.657922, -1.07536
0.868864, -0.658685, -1.07483
0.870681, -0.659437, -1.0743
0.872488, -0.660179, -1.07375
0.874285, -0.66091, -1.0732
0.876072, -0.661631, -1.07264
0.877849, -0.662342, -1.07207
0.879617, -0.663043, -1.07149
0.881374, -0.663733, -1.07091
0.883122, -0.664413, -1.07031
0.88486, -0.665083, -1.06971
0.886587, -0.665742, -1.06911
0.888305, -0.666391, -1.06849
0.890013, -0.667031, -1.06787
0.891711, -0.66766, -1.06723
0.893399, -0.668279, -1.0666
0.895077, -0.668888, -1.06595
0.896745, -0.669487, -1.0653
0.898403, -0.670075, -1.06464
0.900052, -0.670654, -1.06397
0.90169, -0.671223, -1.06329
