x,y,z
1.58922e-05, -0.0015, -1
4.76767e-05, -0.00299998, -1
9.53533e-05, -0.00449992, -1
0.000158922, -0.0059998, -1
0.000238383, -0.0074996, -1
0.000333736, -0.0089993, -1
0.000444981, -0.0104989, -1
0.000572117, -0.0119983, -1
0.000715145, -0.0134976, -1
0.000874064, -0.0149967, -1
0.00104887, -0.0164956, -1
0.00123957, -0.0179943, -0.999999
0.00144617, -0.0194928, -0.999999
0.00166865, -0.0209909, -0.999999
0.00190702, -0.0224889, -0.999999
0.00216128, -0.0239865, -0.999998
0.00243143, -0.0254838, -0.999998
0.00271746, -0.0269807, -0.999997
0.00301939, -0.0284773, -0.999997
0.0033372, -0.0299735, -0.999996
0.0036709, -0.0314693, -0.999995
0.00402049, -0.0329647, -0.999994
0.00438596, -0.0344596, -0.999993
0.00476732, -0.0359541, -0.999992
0.00516456, -0.0374481, -0.99999
0.00557768, -0.0389416, -0.999988
0.00600669, -0.0404346, -0.999987
0.00645158, -0.041927, -0.999985
0.00691236, -0.0434189, -0.999982
0.00738901, -0.0449102, -0.99998
0.00788155, -0.0464008, -0.999977
0.00838996, -0.0478909, -0.999974
0.00891425, -0.0493802, -0.999971
0.00945443, -0.050869, -0.999967
0.0100105, -0.052357, -0.999963
0.0105824, -0.0538443, -0.999959
0.0111702, -0.0553309, -0.999954
0.0117739, -0.0568167, -0.999949
0.0123934, -0.0583017, -0.999943
0.0130289, -0.0597859, -0.999937
0.0136801, -0.0612694, -0.999931
0.0143473, -0.0627519, -0.999924
0.0150304, -0.0642336, -0.999916
0.0157293, -0.0657144, -0.999908
0.016444, -0.0671943, -0.9999
0.0171747, -0.0686733, -0.999891
0.0179212, -0.0701513, -0.999881
0.0186836, -0.0716283, -0.999871
0.0194618, -0.0731044, -0.99986
0.0202559, -0.0745794, -0.999848
0.0210659, -0.0760533, -0.999836
0.0218917, -0.0775262, -0.999823
0.0227334, -0.078998, -0.999809
0.023591, -0.0804686, -0.999794
0.0244644, -0.0819381, -0.999779
0.0253537, -0.0834065, -0.999762
