x,y,z
-1, -0.0015, 7.94611e-06
-1.00001, -0.00299999, 2.3838e-05
-1.00001, -0.00449997, 4.76752e-05
-1.00002, -0.00599993, 7.94567e-05
-1.00003, -0.00749986, 0.000119181
-1.00005, -0.00899975, 0.000166848
-1.00007, -0.0104996, 0.000222454
-1.00008, -0.0119994, 0.000285998
-1.0001, -0.0134992, 0.000357478
-1.00013, -0.0149988, 0.000436891
-1.00015, -0.0164985, 0.000524234
-1.00018, -0.017998, 0.000619503
-1.00021, -0.0194974, 0.000722696
-1.00024, -0.0209968, 0.000833808
-1.00028, -0.0224961, 0.000952836
-1.00032, -0.0239952, 0.00107977
-1.00036, -0.0254943, 0.00121462
-1.0004, -0.0269932, 0.00135737
-1.00044, -0.028492, 0.00150801
-1.00049, -0.0299907, 0.00166654
-1.00054, -0.0314892, 0.00183296
-1.00059, -0.0329876, 0.00200726
-1.00064, -0.0344858, 0.00218942
-1.0007, -0.0359838, 0.00237946
-1.00075, -0.0374817, 0.00257735
-1.00081, -0.0389794, 0.0027831
-1.00087, -0.040477, 0.00299668
-1.00094, -0.0419743, 0.00321811
-1.00101, -0.0434715, 0.00344736
-1.00107, -0.0449684, 0.00368443
-1.00115, -0.0464651, 0.00392931
-1.00122, -0.0479617, 0.004182
-1.00129, -0.0494579, 0.00444248
-1.00137, -0.050954, 0.00471074
-1.00145, -0.0524498, 0.00498677
-1.00153, -0.0539454, 0.00527057
-1.00162, -0.0554407, 0.00556212
-1.00171, -0.0569358, 0.00586141
-1.00179, -0.0584306, 0.00616844
-1.00189, -0.0599251, 0.00648319
-1.00198, -0.0614193, 0.00680564
-1.00207, -0.0629132, 0.0071358
-1.00217, -0.0644069, 0.00747364
-1.00227, -0.0659002, 0.00781915
-1.00237, -0.0673933, 0.00817232
-1.00248, -0.068886, 0.00853315
-1.00258, -0.0703784, 0.0089016
-1.00269, -0.0718704, 0.00927769
-1.0028, -0.0733622, 0.00966138
-1.00291, -0.0748535, 0.0100527
-1.00303, -0.0763446, 0.0104515
-1.00314, -0.0778352, 0.010858
-1.00326, -0.0793255, 0.0112719
-1.00338, -0.0808155, 0.0116935
-1.0035, -0.082305, 0.0121225
-1.00363, -0.0837942, 0.0125591
-1.00376, -0.0852829, 0.0130031
-1.00388, -0.0867713, 0.0134546
-1.00401, -0.0882592, 0.0139136
-1.00415, -0.0897468, 0.01438
-1.00428, -0.0912339, 0.0148539
-1.00442, -0.0927205, 0.0153352
-1.00456, -0.0942068, 0.0158238
-1.0047, -0.0956926, 0.0163199
-1.00484, -0.0971779, 0.0168233
-1.00498, -0.0986628, 0.017334
-1.00513, -0.100147, 0.0178521
-1.00528, -0.101631, 0.0183774
-1.00543, -0.103115, 0.0189101
-1.00558, -0.104598, 0.01945
-1.00573, -0.10608, 0.0199972
-1.00589, -0.107562, 0.0205516
-1.00604, -0.109043, 0.0211132
-1.0062, -0.110524, 0.0216821
-1.00636, -0.112005, 0.0222581
-1.00652, -0.113485, 0.0228412
-1.00669, -0.114964, 0.0234315
-1.00685, -0.116443, 0.0240289
-1.00702, -0.117921, 0.0246334
-1.00719, -0.119399, 0.0252449
-1.00736, -0.120876, 0.0258635
-1.00754, -0.122353, 0.0264892
-1.00771, -0.123828, 0.0271218
-1.00789, -0.125304, 0.0277614
-1.00806, -0.126779, 0.0284081
-1.00824, -0.128253, 0.0290616
-1.00842, -0.129726, 0.0297221
-1.00861, -0.131199, 0.0303894
-1.00879, -0.132672, 0.0310637
-1.00898, -0.134143, 0.0317448
-1.00916, -0.135614, 0.0324327
-1.00935, -0.137085, 0.0331275
-1.00954, -0.138554, 0.033829
-1.00973, -0.140024, 0.0345373
-1.00993, -0.141492, 0.0352523
-1.01012, -0.14296, 0.0359741
-1.01032, -0.144427, 0.0367025
-1.01052, -0.145893, 0.0374376
-1.01072, -0.147359, 0.0381794
-1.01092, -0.148824, 0.0389278
-1.01112, -0.150288, 0.0396827
-1.01132, -0.151751, 0.0404443
-1.01153, -0.153214, 0.0412124
-1.01173, -0.154676, 0.041987
-1.01194, -0.156137, 0.0427681
-1.01215, -0.157598, 0.0435556
-1.01236, -0.159058, 0.0443496
-1.01257, -0.160517, 0.0451501
-1.01278, -0.161975, 0.0459569
-1.01299, -0.163433, 0.0467701
-1.01321, -0.164889, 0.0475896
-1.01343, -0.166345, 0.0484154
-1.01364, -0.1678, 0.0492476
-1.01386, -0.169254, 0.0500859
-1.01408, -0.170708, 0.0509306
-1.0143, -0.17216, 0.0517814
-1.01452, -0.173612, 0.0526384
